City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,yarada,17.65,83.2667,32.18,58,75,5.14,IN,1680338928
251,lujiang,31.2581,117.2817,22.5,49,3,3.66,CN,1680338928
252,kysyl-syr,63.8986,122.7617,-14.05,84,100,3.72,RU,1680338928
253,broome,42.2506,-75.833,10.56,95,100,4.92,US,1680338929
254,palmer,42.1584,-72.3287,6.3,83,100,2.57,US,1680338929
255,ivesti,45.6833,27.5167,15.43,55,100,5.91,RO,1680338929
256,iquitos,-3.7481,-73.2472,24.02,94,20,1.54,PE,1680338930
257,spresiano,45.7791,12.2563,15.8,69,0,1.03,IT,1680338930
258,bambanglipuro,-7.95,110.2833,27.03,80,93,2.52,ID,1680338930
259,ajdabiya,30.7554,20.2263,22.61,18,4,5.35,LY,1680338931
260,tambo,-14.8,-73.9167,3.81,85,100,1.92,PE,1680338931
261,dzaoudzi,-12.7887,45.2699,31.94,70,20,6.17,YT,1680338931
262,camocim,-2.9022,-40.8411,23.59,92,79,2.32,BR,1680338932
263,huaidian,33.4333,115.0333,21.26,56,97,3.67,CN,1680338932
264,gazojak,41.1875,61.4036,24.08,12,4,5.66,TM,1680338769
265,grafton,42.207,-71.6856,5.92,90,100,2.57,US,1680338933
266,buseresere,-3.0236,31.8747,19.72,85,98,2.25,TZ,1680338933
267,asau,46.4333,26.4,7.51,55,100,2.09,RO,1680338933
268,gander,48.9682,-54.5906,-2.93,100,100,1.54,CA,1680338934
269,baracoa,20.3467,-74.4958,24.34,78,56,5.21,CU,1680338934
270,qeshm,26.9581,56.2719,28.93,53,4,6.49,IR,1680338934
271,pascagoula,30.3658,-88.5561,23.4,96,100,2.57,US,1680338780
272,shanghai,31.2222,121.4581,22.92,43,0,2.0,CN,1680338587
273,kankakee,41.15,-87.8667,6.62,81,0,2.57,US,1680338935
274,santa rosa,14.3122,121.1114,33.99,47,78,5.85,PH,1680338769
275,lagoa,39.05,-27.9833,15.94,90,100,6.46,PT,1680338936
276,tahta,26.7693,31.5021,22.06,21,0,6.53,EG,1680338936
277,kabinda,-6.1333,24.4833,23.89,70,99,1.38,CD,1680338937
278,moquegua,-17.1956,-70.9353,18.48,88,95,0.51,PE,1680338937
279,meulaboh,4.1363,96.1285,29.07,67,35,3.45,ID,1680338937
280,high rock,26.6208,-78.2833,24.01,79,56,7.27,BS,1680338937
281,san policarpo,12.1791,125.5072,27.9,76,77,3.86,PH,1680338938
282,lebu,-37.6167,-73.65,12.07,59,100,3.05,CL,1680338938
283,kirakira,-10.4544,161.9205,26.81,81,50,2.19,SB,1680338938
284,souillac,-20.5167,57.5167,30.21,66,40,5.66,MU,1680338939
285,sines,37.9562,-8.8698,15.72,87,93,3.25,PT,1680338939
286,magadan,59.5667,150.8,-2.48,92,100,4.02,RU,1680338939
287,kenai,60.5544,-151.2583,0.08,78,100,2.57,US,1680338940
288,barrow,71.2906,-156.7887,-15.99,92,100,1.54,US,1680338940
289,itoman,26.1247,127.6694,21.01,83,75,5.66,JP,1680338940
290,goderich,43.7501,-81.7165,12.18,94,100,9.26,CA,1680338941
291,mount isa,-20.7333,139.5,28.87,30,100,5.66,AU,1680338941
292,rocha,-34.4833,-54.3333,16.32,67,80,6.29,UY,1680338941
293,muisne,0.6,-80.0333,24.35,90,73,1.91,EC,1680338942
294,cap malheureux,-19.9842,57.6142,29.7,66,1,4.47,MU,1680338942
295,poum,-20.2333,164.0167,26.56,75,4,2.05,NC,1680338942
296,gamboma,-1.8764,15.8644,29.27,60,17,1.09,CG,1680338943
297,bubaque,11.2833,-15.8333,25.2,74,60,3.39,GW,1680338943
298,bengkulu,-3.8004,102.2655,28.39,69,57,2.92,ID,1680338943
299,clifton,40.8584,-74.1638,15.87,84,100,4.12,US,1680338888
300,safaga,26.7292,33.9365,21.54,34,0,7.51,EG,1680338944
301,uberaba,-19.7483,-47.9319,21.32,83,0,1.54,BR,1680338944
302,satun,6.8333,100.0,36.0,42,62,1.63,TH,1680338945
303,menongue,-14.6585,17.691,25.29,57,32,1.52,AO,1680338650
304,faya,18.3851,42.4509,20.29,60,33,4.92,SA,1680338945
305,port moresby,-9.4431,147.1797,23.68,100,100,1.54,PG,1680338946
306,chapais,49.7834,-74.8492,-14.12,97,94,1.53,CA,1680338946
307,hasaki,35.7333,140.8333,16.79,52,0,6.48,JP,1680338946
308,darhan,49.4867,105.9228,-4.41,36,100,9.96,MN,1680338947
309,vredendal,-31.6683,18.5012,29.21,20,0,4.62,ZA,1680338947
310,chokurdakh,70.6333,147.9167,-32.76,99,20,2.34,RU,1680338947
311,leningradskiy,69.3833,178.4167,-13.17,95,100,4.78,RU,1680338948
312,blackfoot,43.1905,-112.345,2.88,84,100,3.27,US,1680338547
313,kipen,59.6765,29.8531,-0.63,99,100,4.39,RU,1680338948
314,marfino,55.7028,37.3822,4.95,84,75,3.0,RU,1680338949
315,paro,27.4305,89.4133,8.6,99,100,2.07,BT,1680338949
316,garautha,25.5667,79.3,32.55,20,56,3.54,IN,1680338949
317,khvoynaya,58.9,34.5333,2.83,72,100,1.69,RU,1680338950
318,onega,63.9061,38.1404,-2.61,90,94,2.17,RU,1680338950
319,balakhta,55.38,91.6,-7.53,71,100,2.33,RU,1680338950
320,kirkuk,35.4681,44.3922,11.09,37,2,2.76,IQ,1680338767
321,sa kaeo,13.75,102.3333,34.59,42,83,5.63,TH,1680338951
322,mitu,1.1983,-70.1733,21.36,100,100,0.49,CO,1680338951
323,bhag,29.0415,67.8239,29.62,32,44,1.61,PK,1680338951
324,alofi,-19.0595,-169.9187,24.94,94,5,2.57,NU,1680338952
325,gobabis,-22.45,18.9667,28.89,21,0,5.35,NA,1680338952
326,nieves,15.3274,120.9485,33.73,42,54,4.1,PH,1680338953
327,axim,4.8699,-2.2405,28.47,71,96,2.62,GH,1680338953
328,lata,40.1629,-8.3327,12.82,76,94,1.38,PT,1680338954
329,jizan,17.3333,42.6667,32.52,53,58,2.82,SA,1680338954
330,saint-louis,16.3333,-15.0,25.8,7,0,6.34,SN,1680338955
331,hami,42.8,93.45,7.84,36,33,4.85,CN,1680338955
332,porto walter,-8.2686,-72.7439,21.9,100,100,0.37,BR,1680338955
333,samsun,41.25,36.3333,15.42,38,0,4.63,TR,1680338956
334,cidreira,-30.1811,-50.2056,17.17,64,4,7.02,BR,1680338956
335,turukhansk,65.8167,87.9833,-8.33,83,100,10.71,RU,1680338957
336,tautira,-17.7333,-149.15,28.18,68,78,3.29,PF,1680338957
337,gamba,-2.65,10.0,23.98,91,100,2.53,GA,1680338957
338,paamiut,61.994,-49.6678,-6.84,47,91,1.95,GL,1680338958
339,nenjiang,49.1833,125.2167,20.62,17,98,7.88,CN,1680338958
340,rovaniemi,66.5,25.7167,-1.33,59,0,5.14,FI,1680338421
341,ayni,39.3941,68.5377,14.36,57,87,0.74,TJ,1680338959
342,katangli,51.7102,143.2326,-0.79,94,90,3.64,RU,1680338959
